Tweet ID, Author ID, Date Published, Tweet Text
1865094790573883497,1641234105902702594,2024-12-06T18:03:44.000Z,"Brothers Minister to Minority People Group https://t.co/wvfQO8isql  #PrayerRequest #WakeUp #America #Americans #Freedom #Democrat #Republican #Independent #Conservative #Libertarian #GenZ #Democrats #Republicans #Independents #Conservatives #Libertarians #BLM #Antifa"
1865094279409848537,18361825,2024-12-06T18:01:42.000Z,"@Omowale99949437 And again, just like in Lexington… no indictments or charges on anybody by the DOJ.   This is just another tell them what the problem is, but make no promises or attempts to correct anything by #democrat leadership..   The other wing of the white supremacist bird.  #DNC #DEM"
1865094129899786333,3687317968,2024-12-06T18:01:06.000Z,"#Democrat scumbag @lpohutsky19 https://t.co/Ca4MGAVTWs"
1865094037289529807,3687317968,2024-12-06T18:00:44.000Z,"@DaveBondyTV @lpohutsky19 Lmao, typical #Democrat scumbag #Communist."
1865093821891014767,182306024,2024-12-06T17:59:53.000Z,"@maab81 #Ramaswamy is a hawkish Republican of Indian descent, but #NewYork is a #Democrat state. These ideas won't be very easy to execute in NY. The issue is not mainly with the #Pakistan here. Their statement resonates with the expected policy of mass deportations in the future. #USA"
1865093765276352880,1470489433417953282,2024-12-06T17:59:40.000Z,"Woke #BLM #Muslim #Democrat and Former #Illegal Migrant on Boston City Council Arrested by FBI for Federal Fraud Charges  #Boston https://t.co/yYMbnulch3"
1865093698935230518,781233472991920128,2024-12-06T17:59:24.000Z,"Who Are the Dems Eying 2028 Presidential Bids? CBS News' Robert Costa Has Answers   #GVWire #News #Politics #California #CA #CentralValley #FresnoCounty #Election2028 #Elections #dems #GOP #republican #democrat  https://t.co/C4NGsufNos"
1865092415163437106,1841542441415147522,2024-12-06T17:54:18.000Z,"@jsolomonReports The pure #Evil of the #Democrat party"
1865092158258319769,479893704,2024-12-06T17:53:16.000Z,"I can very proudly say that, because of these very things, for the first time in my life, I voted #Democrat #KamalaHarris #TrumpCheated #Election2024 https://t.co/MS7jxNqwJT"
1865091654488617193,4760754252,2024-12-06T17:51:16.000Z,"@VP You mean: We stole money from taxpayers and gave it to irresponsible #Democrat voters to buy their votes"
1865090831008362536,1244117044964077569,2024-12-06T17:48:00.000Z,"If the far left in the #Democrat party continue controlling things at @DNC - the next hill member to move to Independent will be Senator Fetterman. He clearly has issues with many far left goals &amp; has become quite politically astute post-recovery. Mark the date…"
1865090336344686921,3018941818,2024-12-06T17:46:02.000Z,"She isn’t unique or an abnormality..  Dig into ANY #Democrat politician background and you will find this type of thing. Some are just more sophisticated about how they hide it. https://t.co/HqRTLDAu9r"
1865090132396978198,1586007448397103104,2024-12-06T17:45:13.000Z,"@EricLDaugh @irishspy @elonmusk @SenFettermanPA is such a reasonable person. He needs to switch parties. There is nothing for him on the #Democrat side."
1865089712383279588,4594897829,2024-12-06T17:43:33.000Z,"@Sadie_NC #Socialist #DemocRAT #Liberal #Libtard #ENEMYwithin #DemocRATs and other #Whiners!!"
